epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.86806,0,7.91312,0,0,0,0,0,0,4.71981,0,0,0,0
2,4.05943,0,7.91895,0,0,0,0,0,0,4.71981,0,0.000544664,0.000544664,0.000544664
3,5.93561,0,7.9017,0,0,0,0,0,0,4.71981,0,0.00106732,0.00106732,0.00106732
4,7.93027,0,7.91848,0,0,0,0,0,0,4.71981,0,0.00156798,0.00156798,0.00156798
5,9.70284,0,7.90993,0,0,0,0,0,0,4.71981,0,0.00153497,0.00153497,0.00153497
6,11.667,0,7.92223,0,0,0,0,0,0,4.71981,0,0.00150197,0.00150197,0.00150197
7,13.8218,0,7.91895,0,0,0,0,0,0,4.69051,0,0.00146896,0.00146896,0.00146896
8,15.8723,0,7.87812,0,0,0,0,0,0,4.69051,0,0.00143595,0.00143595,0.00143595
9,17.6799,0,7.86571,0,0,0,0,0,0,4.69051,0,0.00140295,0.00140295,0.00140295
10,19.5215,0,7.90284,0,0,0,0,0,0,4.69051,0,0.00136994,0.00136994,0.00136994
11,21.221,0,7.89547,0,0,0,0,0,0,4.69051,0,0.00133693,0.00133693,0.00133693
12,23.1039,0,7.88847,0,0,0,0,0,0,4.69051,0,0.00130393,0.00130393,0.00130393
13,24.9335,0,7.88436,0,0,0,0,0,0,4.65175,0,0.00127092,0.00127092,0.00127092
14,26.882,0,7.3989,0,0,0,0,0,0,4.65175,0,0.00123791,0.00123791,0.00123791
15,28.6757,0,7.43048,0,0,0,0,0,0,4.65175,0,0.00120491,0.00120491,0.00120491
16,30.283,0,7.40182,0,0,0,0,0,0,4.65175,0,0.0011719,0.0011719,0.0011719
17,31.9587,0,7.39294,0,0,0,0,0,0,4.65175,0,0.00113889,0.00113889,0.00113889
18,33.9911,0,7.40613,0,0,0,0,0,0,4.65175,0,0.00110589,0.00110589,0.00110589
19,35.7122,0,7.39596,0,0,0,0,0,0,4.65656,0,0.00107288,0.00107288,0.00107288
20,38.2312,0,7.12348,0,0,0,0,0,0,4.65656,0,0.00103987,0.00103987,0.00103987
21,40.4797,0,7.08366,0,0,0,0,0,0,4.65656,0,0.00100687,0.00100687,0.00100687
22,42.7115,0,7.10312,0,0,0,0,0,0,4.65656,0,0.000973861,0.000973861,0.000973861
23,45.1068,0,7.12827,0,0,0,0,0,0,4.65656,0,0.000940855,0.000940855,0.000940855
24,47.0788,0,7.11781,0,0,0,0,0,0,4.65656,0,0.000907848,0.000907848,0.000907848
25,49.3919,0,7.09113,0,0,0,0,0,0,4.6843,0,0.000874842,0.000874842,0.000874842
26,51.1806,0,6.79982,0,0,0,0,0,0,4.6843,0,0.000841835,0.000841835,0.000841835
27,53.8352,0,6.79978,0,0,0,0,0,0,4.6843,0,0.000808828,0.000808828,0.000808828
28,56.1886,0,6.79952,0,0,0,0,0,0,4.6843,0,0.000775822,0.000775822,0.000775822
29,58.2218,0,6.80705,0,0,0,0,0,0,4.6843,0,0.000742815,0.000742815,0.000742815
30,60.0621,0,6.81052,0,0,0,0,0,0,4.6843,0,0.000709809,0.000709809,0.000709809
31,62.3886,0,6.7912,0,0,0,0,0,0,4.71206,0,0.000676802,0.000676802,0.000676802
32,66.0245,0,6.70104,0,0,0,0,0,0,4.71206,0,0.000643795,0.000643795,0.000643795
33,68.2519,0,6.6885,0,0,0,0,0,0,4.71206,0,0.000610789,0.000610789,0.000610789
34,70.1639,0,6.69085,0,0,0,0,0,0,4.71206,0,0.000577782,0.000577782,0.000577782
35,71.8892,0,6.67883,0,0,0,0,0,0,4.71206,0,0.000544776,0.000544776,0.000544776
36,73.8701,0,6.68437,0,0,0,0,0,0,4.71206,0,0.000511769,0.000511769,0.000511769
37,75.9061,0,6.59319,0,0,0,0,0,0,4.72822,0,0.000478762,0.000478762,0.000478762
38,77.9095,0,6.53048,0,0,0,0,0,0,4.72822,0,0.000445756,0.000445756,0.000445756
39,79.8957,0,6.5329,0,0,0,0,0,0,4.72822,0,0.000412749,0.000412749,0.000412749
40,81.9068,0,6.4509,0,0,0,0,0,0,4.72822,0,0.000379743,0.000379743,0.000379743
41,83.7028,0,6.45811,0,0,0,0,0,0,4.72822,0,0.000346736,0.000346736,0.000346736
42,85.9063,0,6.49384,0,0,0,0,0,0,4.72822,0,0.000313729,0.000313729,0.000313729
43,87.7256,0,6.55952,0,0,0,0,0,0,4.68168,0,0.000280723,0.000280723,0.000280723
44,89.3617,0,6.39695,0,0,0,0,0,0,4.68168,0,0.000247716,0.000247716,0.000247716
45,91.5538,0,6.33615,0,0,0,0,0,0,4.68168,0,0.00021471,0.00021471,0.00021471
46,93.2713,0,6.37471,0,0,0,0,0,0,4.68168,0,0.000181703,0.000181703,0.000181703
47,95.003,0,6.4266,0,0,0,0,0,0,4.68168,0,0.000148696,0.000148696,0.000148696
48,96.9242,0,6.37639,0,0,0,0,0,0,4.68168,0,0.00011569,0.00011569,0.00011569
49,98.7327,0,6.41326,0,0,0,0,0,0,4.60353,0,8.26832e-05,8.26832e-05,8.26832e-05
50,100.636,0,6.42032,0,0,0,0,0,0,4.60353,0,4.96766e-05,4.96766e-05,4.96766e-05
